toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate,target
3191.01,342375120,,13h37m32.54s,204.385594,-66d15m03.78s,-66.251049,-15.338,0.037,-0.037,0,-5.494,0.041,-0.041,0,2459355.803726,0.003173,-0.003173,0,4.4367891,2.5e-05,-2.5e-05,0,2.042,0.218,-0.218,0,4940,9.63679,-9.63679,0,16.9119,1.17619,-1.17619,0,243.186,NaN,NaN,NaN,1100,NaN,NaN,NaN,12.1441,0.007,-0.007,0,864.432,20.97,-20.97,0,6426,137.5,-137.5,0,3.78,0.09,-0.09,0,2.42,0.12,-0.12,0,04-Jun-2021 13:54:23,05-Oct-2022 14:00:02,0
3192.01,336613507,,13h05m29.76s,196.373989,-66d23m06.59s,-66.385163,-11.227,0.024,-0.024,0,-5.35,0.025,-0.025,0,2459356.6909,0.001147,-0.001147,0,2.2350331,5.6e-06,-5.6e-06,0,3.102,0.085,-0.085,0,20880,6.78553,-6.78553,0,22.5855,1.03486,-1.03486,0,2662.36,NaN,NaN,NaN,2001,NaN,NaN,NaN,12.882,0.007,-0.007,0,860.344,14.4995,-14.4995,0,7057,135.5,-135.5,0,4.27,0.08,-0.08,0,1.51,0.06,-0.06,0,04-Jun-2021 13:54:23,05-Oct-2022 14:00:02,0
3193.01,334757798,,14h15m51.43s,213.964279,-60d50m12.64s,-60.836844,-3.321,3.035,-3.035,0,-2.882,3.035,-3.035,0,2458623.315569,0.004879,-0.004879,0,2.3019268,0.0009268,-0.0009268,0,2.527,0.388,-0.388,0,12000,44.3117,-44.3117,0,NaN,NaN,NaN,0,639.638,NaN,NaN,NaN,1401,NaN,NaN,NaN,13.6132,0.006,-0.006,0,1907.31,NaN,NaN,0,5322,234.9,-234.9,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,04-Jun-2021 13:54:23,29-Oct-2021 13:06:46,0
3194.01,333511802,,14h13m17.02s,213.320899,-60d19m51.43s,-60.330954,-48.972,0.02,-0.02,0,-37.079,0.038,-0.038,0,2459353.903239,0.004817,-0.004817,0,3.6179419,3.22e-05,-3.22e-05,0,4.394,0.959,-0.959,0,14890,199.185,-199.185,0,11.142,NaN,NaN,0,755.42,NaN,NaN,NaN,1460,NaN,NaN,NaN,13.3682,0.006,-0.006,0,293.249,1.917,-1.917,0,4460,122,-122,0,4.4,NaN,NaN,0,0.87,NaN,NaN,0,04-Jun-2021 13:54:23,05-Oct-2022 14:00:02,0
3195.01,332880327,,14h25m05.14s,216.271435,-53d30m17.95s,-53.504985,-7.27,0.075,-0.075,0,-3.886,0.054,-0.054,0,2459360.096224,0.001292,-0.001292,0,0.6676722,1.8e-06,-1.8e-06,0,1.117,0.155,-0.155,0,3440,5.39671,-5.39671,0,17.2447,1.25472,-1.25472,0,4517.79,NaN,NaN,NaN,2284,NaN,NaN,NaN,12.594,0.008,-0.008,0,1216.73,50.955,-50.955,0,6842,135.8,-135.8,0,3.71,0.09,-0.09,0,2.82,0.17,-0.17,0,04-Jun-2021 13:54:23,05-Oct-2022 14:00:02,0
3196.01,331297805,,14h10m23.16s,212.596515,-60d08m17.97s,-60.138326,-13.884,0.02,-0.02,0,-13.339,0.035,-0.035,0,2459351.787159,0.001592,-0.001592,0,4.9816829,1.55e-05,-1.55e-05,0,2.587,0.147,-0.147,0,11450,6.12652,-6.12652,0,9.90628,0.562894,-0.562894,0,170.85,NaN,NaN,NaN,1007,NaN,NaN,NaN,12.4383,0.006,-0.006,0,321.341,2.0475,-2.0475,0,5670,131.2,-131.2,0,4.52,0.08,-0.08,0,0.91,0.05,-0.05,0,04-Jun-2021 13:54:24,05-Oct-2022 14:00:02,0
3197.01,331160996,,14h09m07.81s,212.282531,-62d16m07.29s,-62.268693,-6.63,2.969,-2.969,0,-5.457,2.969,-2.969,0,2458623.463783,0.003217,-0.003217,0,2.1972485,0.0005637,-0.0005637,0,2.348,0.334,-0.334,0,30680,62.4774,-62.4774,0,NaN,NaN,NaN,0,480.575,NaN,NaN,NaN,1304,NaN,NaN,NaN,13.5902,0.006,-0.006,0,1246.7,NaN,NaN,0,5146.9,119.4,-119.4,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,04-Jun-2021 13:54:24,29-Oct-2021 13:06:46,0
3198.01,121625070,,15h03m02.57s,225.760711,-37d18m11.81s,-37.303281,-0.761,0.078,-0.078,0,-2.454,0.061,-0.061,0,2459359.016777,0.00076,-0.00076,0,2.1271199,3e-06,-3e-06,0,2.386,0.062,-0.062,0,14960,3.31509,-3.31509,0,13.6834,0.793992,-0.793992,0,789.061,NaN,NaN,NaN,1476,NaN,NaN,NaN,12.6029,0.006,-0.006,0,476.319,14.281,-14.281,0,5483.2,74.2,-74.2,0,4.36,NaN,NaN,0,1.08,0.06,-0.06,0,04-Jun-2021 13:54:24,05-Oct-2022 14:00:02,0
3199.01,330885564,,14h15m50.39s,213.95997,-50d32m19.41s,-50.538725,-16.662,0.046,-0.046,0,-6.381,0.042,-0.042,0,2459359.835275,0.002325,-0.002325,0,0.6756067,2.6e-06,-2.6e-06,0,1.028,0.193,-0.193,0,3480,11.1325,-11.1325,0,6.27738,NaN,NaN,0,1471.82,NaN,NaN,NaN,1725,NaN,NaN,NaN,13.0904,0.006,-0.006,0,439.309,4.1395,-4.1395,0,5411,122,-122,0,4.48,NaN,NaN,0,0.92,NaN,NaN,0,04-Jun-2021 13:54:24,05-Oct-2022 14:00:02,0
320.01,188593930,FP,23h02m05.43s,345.522623,-16d21m38.52s,-16.360699,-28.458,0.068,-0.068,0,-176.929,0.056,-0.056,0,2458354.27607,0.00343,-0.00343,0,1.46503,0.00029,-0.00029,0,1.145,0.252,-0.252,0,3162.12,9.28965,-9.28965,0,5.43222,0.825769,-0.825769,0,601.367,NaN,NaN,NaN,1379,NaN,NaN,NaN,12.3574,0.007,-0.007,0,379.256,5.205,-5.205,0,5912.5,441,-441,0,4.36,NaN,NaN,0,0.88,0.12,-0.12,0,20-Dec-2018 19:43:30,07-Dec-2021 14:00:02,0
3200.01,330014070,,14h12m19.77s,213.082385,-53d42m17.51s,-53.704865,1.072,1.178,-1.178,0,6.125,1.177,-1.177,0,2459356.723741,0.00144,-0.00144,0,6.3087809,1.73e-05,-1.73e-05,0,1.535,0.336,-0.336,0,7450,12.0177,-12.0177,0,NaN,NaN,NaN,0,43.1496,NaN,NaN,NaN,714,NaN,NaN,NaN,11.8912,0.006,-0.006,0,NaN,NaN,NaN,0,5267.2,282.6,-282.6,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,04-Jun-2021 13:54:24,05-Oct-2022 14:00:02,0
3201.01,329921262,,12h49m18.83s,192.328452,-68d45m01.91s,-68.75053,-1.889,3.046,-3.046,0,-1.876,3.046,-3.046,0,2458622.263645,0.004991,-0.004991,0,2.3648698,0.0007631,-0.0007631,0,1.701,0.299,-0.299,0,4670,16.7051,-16.7051,0,NaN,NaN,NaN,0,213.043,NaN,NaN,NaN,1064,NaN,NaN,NaN,11.9963,0.006,-0.006,0,NaN,NaN,NaN,0,4883.2,190.1,-190.1,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,04-Jun-2021 13:54:24,29-Oct-2021 13:06:46,0
3202.01,329691586,,14h10m11.4s,212.54751,-51d27m10.93s,-51.453035,-17.711,0.094,-0.094,0,-10.474,0.101,-0.101,0,2459358.004096,0.002646,-0.002646,0,1.5169786,7.1e-06,-7.1e-06,0,1.241,0.44,-0.44,0,2720,185.629,-185.629,0,6.64263,1.57115,-1.57115,0,1674.03,NaN,NaN,NaN,1782,NaN,NaN,NaN,12.3574,0.006,-0.006,0,373.996,5.626,-5.626,0,5828,128,-128,0,4.44,0.08,-0.08,0,1.02,0.05,-0.05,0,04-Jun-2021 13:54:24,05-Oct-2022 14:00:02,0
3203.01,329609449,,14h10m16.67s,212.569448,-50d06m17.92s,-50.104977,-8.03,0.111,-0.111,0,-5.251,0.156,-0.156,0,2459358.542026,0.003385,-0.003385,0,4.2442882,2.73e-05,-2.73e-05,0,4.273,0.759,-0.759,0,7530,12.5005,-12.5005,0,13.1653,1.1408,-1.1408,0,2036.6,NaN,NaN,NaN,1871,NaN,NaN,NaN,12.5757,0.007,-0.007,0,813.39,51.2225,-51.2225,0,6915,133.3,-133.3,0,4.25,0.1,-0.1,0,1.52,0.11,-0.11,0,04-Jun-2021 13:54:24,05-Oct-2022 14:00:02,0
3204.01,326662822,,12h34m24.38s,188.601563,-69d45m29.14s,-69.758095,-5.209,3.027,-3.027,0,5.817,3.027,-3.027,0,2459353.157913,0.002823,-0.002823,0,4.0446543,2.1e-05,-2.1e-05,0,4.735,0.293,-0.293,0,11170,7.31415,-7.31415,0,NaN,NaN,NaN,0,607.949,NaN,NaN,NaN,1383,NaN,NaN,NaN,13.31,0.006,-0.006,0,1656.76,NaN,NaN,0,5172.7,192.5,-192.5,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,04-Jun-2021 13:54:25,21-Sep-2022 14:00:01,0
3205.01,322862882,,14h33m54.34s,218.476437,-24d39m10.16s,-24.652822,-139.71,2,-2,0,-14.68,2,-2,0,2459359.464532,0.000666,-0.000666,0,1.2361087,1.6e-06,-1.6e-06,0,1.139,0.183,-0.183,0,19760,52.9706,-52.9706,0,8.82245,1.3312,-1.3312,0,272.064,NaN,NaN,NaN,1131,NaN,NaN,NaN,13.364,0.042,-0.042,0,NaN,NaN,NaN,0,4313.2,312.3,-312.3,0,NaN,NaN,NaN,0,0.59,0.08,-0.08,0,04-Jun-2021 13:54:25,21-Sep-2022 14:00:01,0
3206.01,321802774,,13h44m24.79s,206.103286,-64d29m47.76s,-64.496601,-11.167,0.025,-0.025,0,-5.154,0.031,-0.031,0,2459357.915255,0.003811,-0.003811,0,1.9405161,1.34e-05,-1.34e-05,0,3.344,0.218,-0.218,0,5930,6.36378,-6.36378,0,15.0354,0.790211,-0.790211,0,8627.96,NaN,NaN,NaN,2685,NaN,NaN,NaN,12.6265,0.008,-0.008,0,1095.74,26.395,-26.395,0,8213,148.7,-148.7,0,4.16,0.08,-0.08,0,1.94,0.07,-0.07,0,04-Jun-2021 13:54:25,05-Oct-2022 14:00:02,0
